Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
1,0.399702022,0,0.202523107,0,0,0.743992963,0.126772023,0.007943709,0,0,0.082289619,0,0.027107344,0.402029657,0,0.138439183,0,0.061091335,0,0.139396576,0,0,0.008,0.314801579,0.956763175,2.331287539
2,0.249799099,0,0.431578965,0,0,0.453689542,0.265276663,0,0,0,0.108908555,0,0,0.712992425,0.09885554,0.043956097,0,0,0,0.289688043,0.001015633,0,0.008,0.332351058,0.951059458,2.655760562
3,0.23512678,0,0.356774678,0,0,0.834407769,0.182969738,0,0,0,0.066695465,0,0,0.398571996,0,0.20101003,0,0,0,0.348747629,0,0.004656046,0.01,0.305949889,0.961095328,2.62896013
4,0.056856386,0,0.250987294,0.026206165,0,0.117647885,0.285701926,0,0,0,0.096779203,0,0,0.475295639,0,0.087486968,0,0,0,0.037856619,0,0,0.062,0.141952922,1.042085799,1.434818084
5,0.09114172,0,0.218109918,0,0,0.535564792,0.008212955,0,0,0,0.140633549,0,0,0.448436069,0,0.013669274,0,0.054343767,0,0.326872332,0,0.009655433,0.016,0.223685907,1.002782135,1.846639809
6,0.039729971,0,0.134033974,0.008189133,0,0.846314525,0.121018073,0,0,0,0.273917038,0,0.090800364,0.363644652,0.007663271,0,0,0,0,0.308446657,0.117384847,0.196504847,0.068,0.133967824,1.035801471,2.507647352
7,0.611141559,0,0.297348553,0.215019372,0,0.590438203,0.03382581,0.143437448,0,0,0.16003275,0,0.088739082,0.64813162,0.01326228,0.006297339,0,0,0,1.385082373,0,0.045003102,0.016,0.236785317,1.011379818,4.237759491
8,0.209953849,0,0.339457895,0,0,0.995094201,0.114095425,0.04518444,0,0,0.242219806,0,0.075171527,0.258251883,0,0.143645752,0,0.060783158,0,0.253266614,0.030155834,0,0.008,0.329072532,0.949329778,2.767280385
9,0,0.2135849,0.372098794,0,0,0.601402346,0.232941132,0,0,0,0.150387538,0,0,0.326916488,0,0.086664425,0,0.029805765,0,0.158823408,0.072801668,0.089159,0.002,0.379071703,0.925831716,2.334585464
10,0.162677054,0,0.361519319,0.177666867,0,0.575590159,0.216873779,0,0,0,0,0.020209994,0.011365049,0.133177761,0.073946935,0.152947453,0.134652912,0,0,0.076535226,0,0,0.006,0.338781569,0.945153516,2.097162507
