Ensembl_ID	Gene_symbol
ENSG00000114771	AADAC
ENSG00000144452	ABCA12
ENSG00000167972	ABCA3
ENSG00000064687	ABCA7
ENSG00000166016	ABTB2
ENSG00000180448	AC004151.1
ENSG00000249590	AC004832.3
ENSG00000213443	AC007068.1
ENSG00000262202	AC007952.4
ENSG00000280152	AC009078.3
ENSG00000273025	AC009690.3
ENSG00000269110	AC010636.2
ENSG00000286065	AC015911.11
ENSG00000267519	AC020916.1
ENSG00000170442	AC021066.1
ENSG00000269378	AC022149.1
ENSG00000259244	AC048382.2
ENSG00000286190	AC055839.2
ENSG00000229023	AC067945.1
ENSG00000250644	AC068580.4
ENSG00000255641	AC068775.1
ENSG00000272822	AC073610.2
ENSG00000259080	AC074091.2
ENSG00000258111	AC079316.1
ENSG00000285338	AC091564.7
ENSG00000266302	AC098850.3
ENSG00000253882	AC099548.2
ENSG00000250111	AC107982.1
ENSG00000250461	AC122718.1
ENSG00000279228	AC133555.5
ENSG00000284879	AC133644.3
ENSG00000265118	AC134669.1
ENSG00000281179	AC135068.8
ENSG00000215304	AC135983.2
ENSG00000219201	AC138392.1
ENSG00000270580	AC139256.3
ENSG00000196302	AC146944.1
ENSG00000282572	AC215522.2
ENSG00000286185	AC242842.3
ENSG00000286106	AC253572.1
ENSG00000240303	ACAD11
ENSG00000072818	ACAP1
ENSG00000129048	ACKR4
ENSG00000153093	ACOXL
ENSG00000102575	ACP5
ENSG00000151726	ACSL1
ENSG00000185607	ACTBP7
ENSG00000196839	ADA
ENSG00000093072	ADA2
ENSG00000135074	ADAM19
ENSG00000042980	ADAM28
ENSG00000151651	ADAM8
ENSG00000166106	ADAMTS15
ENSG00000158859	ADAMTS4
ENSG00000143382	ADAMTSL4
ENSG00000184060	ADAP2
ENSG00000197381	ADARB1
ENSG00000121281	ADCY7
ENSG00000127507	ADGRE2
ENSG00000131355	ADGRE3
ENSG00000268758	ADGRE4P
ENSG00000153292	ADGRF1
ENSG00000182885	ADGRG3
ENSG00000112414	ADGRG6
ENSG00000148926	ADM
ENSG00000169129	AFAP1L2
ENSG00000135439	AGAP2
ENSG00000204472	AIF1
ENSG00000126878	AIF1L
ENSG00000163568	AIM2
ENSG00000085662	AKR1B1
ENSG00000271984	AL008726.1
ENSG00000284969	AL049629.2
ENSG00000260861	AL049634.2
ENSG00000236673	AL117378.1
