Ensembl_ID	Gene_symbol
ENSG00000109576	AADAT
ENSG00000103591	AAGAB
ENSG00000275700	AATF
ENSG00000085563	ABCB1
ENSG00000125257	ABCC4
ENSG00000164163	ABCE1
ENSG00000285292	ABCF2
ENSG00000139826	ABHD13
ENSG00000140526	ABHD2
ENSG00000158201	ABHD3
ENSG00000146386	ABRACL
ENSG00000163322	ABRAXAS1
ENSG00000242156	AC000041.1
ENSG00000285953	AC000120.4
ENSG00000258924	AC002094.1
ENSG00000196656	AC004057.1
ENSG00000257184	AC004080.3
ENSG00000285897	AC004687.2
ENSG00000284292	AC004922.1
ENSG00000285725	AC004967.2
ENSG00000281039	AC005154.5
ENSG00000255104	AC005324.4
ENSG00000267056	AC005336.1
ENSG00000214719	AC005562.1
ENSG00000269749	AC005614.2
ENSG00000262633	AC005670.2
ENSG00000272921	AC005832.4
ENSG00000255639	AC005833.1
ENSG00000276232	AC006064.5
ENSG00000283549	AC007161.3
ENSG00000244055	AC007566.1
ENSG00000258864	AC008575.1
ENSG00000267179	AC008770.2
ENSG00000256646	AC010132.3
ENSG00000167774	AC010323.1
ENSG00000273184	AC010655.4
ENSG00000249363	AC011411.1
ENSG00000259924	AC011939.1
ENSG00000267228	AC012254.2
ENSG00000273398	AC017083.3
ENSG00000256206	AC018523.2
ENSG00000273014	AC018645.3
ENSG00000231409	AC018868.1
ENSG00000283239	AC019257.8
ENSG00000286001	AC021087.5
ENSG00000204876	AC021218.1
ENSG00000242288	AC022400.3
ENSG00000271816	AC022400.5
ENSG00000257379	AC023509.1
ENSG00000280852	AC025048.6
ENSG00000256664	AC025423.2
ENSG00000249319	AC068533.4
ENSG00000283149	AC068631.3
ENSG00000284946	AC068831.8
ENSG00000255624	AC073585.1
ENSG00000242299	AC073861.1
ENSG00000248710	AC079594.2
ENSG00000204745	AC083899.1
ENSG00000243181	AC087343.1
ENSG00000280828	AC090114.3
ENSG00000225026	AC091492.1
ENSG00000249773	AC092647.5
ENSG00000244004	AC097493.2
ENSG00000235288	AC099329.1
ENSG00000284952	AC104472.3
ENSG00000170089	AC106795.1
ENSG00000277998	AC107075.1
ENSG00000285943	AC112128.1
ENSG00000271741	AC114490.2
ENSG00000241612	AC114728.1
ENSG00000283782	AC116366.3
ENSG00000244398	AC116533.1
ENSG00000283761	AC118553.2
ENSG00000285793	AC125232.2
ENSG00000285628	AC126755.7
ENSG00000267681	AC135721.1
ENSG00000226268	AC135977.1
ENSG00000265798	AC138207.6
ENSG00000185495	AC138393.1
ENSG00000260342	AC138811.2
ENSG00000233836	AC139769.1
ENSG00000282304	AC140479.5
ENSG00000261499	AC233699.1
ENSG00000274615	AC233968.1
ENSG00000280279	AC240565.4
ENSG00000278202	AC243919.2
ENSG00000117054	ACADM
ENSG00000075239	ACAT1
ENSG00000120437	ACAT2
ENSG00000112304	ACOT13
ENSG00000123983	ACSL3
ENSG00000197142	ACSL5
ENSG00000164398	ACSL6
ENSG00000005187	ACSM3
ENSG00000106526	ACTR3C
ENSG00000121989	ACVR2A
ENSG00000197140	ADAM32
ENSG00000168615	ADAM9
ENSG00000134028	ADAMDEC1
ENSG00000189007	ADAT2
ENSG00000152990	ADGRA3
ENSG00000153294	ADGRF4
ENSG00000156110	ADK
ENSG00000035687	ADSS2
ENSG00000038002	AGA
ENSG00000155189	AGPAT5
ENSG00000106546	AHR
ENSG00000162433	AK4
ENSG00000085231	AK6
ENSG00000118507	AKAP7
ENSG00000254553	AL033529.1
ENSG00000285283	AL035078.4
ENSG00000226812	AL117382.2
ENSG00000284776	AL121900.1
ENSG00000219747	AL133260.1
ENSG00000254692	AL136295.1
ENSG00000151303	AL136982.1
ENSG00000273637	AL139260.2
ENSG00000275216	AL161431.1
ENSG00000165121	AL353743.1
ENSG00000278139	AL358075.4
ENSG00000285130	AL358113.1
ENSG00000273167	AL359736.1
ENSG00000232499	AL391058.1
ENSG00000288208	AL451136.1
ENSG00000257622	AL512356.1
ENSG00000270149	AL591806.4
ENSG00000219133	AL592114.1
ENSG00000244255	AL645922.1
ENSG00000288473	AL669830.2
ENSG00000250264	AL669918.1
ENSG00000249456	AL731577.2
ENSG00000231181	AL954705.1
ENSG00000170017	ALCAM
ENSG00000072210	ALDH3A2
ENSG00000112294	ALDH5A1
ENSG00000139133	ALG10
ENSG00000175548	ALG10B
ENSG00000119523	ALG2
ENSG00000120697	ALG5
ENSG00000088035	ALG6
ENSG00000159063	ALG8
ENSG00000166199	ALKBH3
ENSG00000242110	AMACR
ENSG00000110200	ANAPC15
ENSG00000132623	ANKEF1
ENSG00000254996	ANKHD1-EIF4EBP3
ENSG00000180071	ANKRD18A
ENSG00000152766	ANKRD22
ENSG00000230006	ANKRD36BP2
ENSG00000186352	ANKRD37
ENSG00000011426	ANLN
ENSG00000136938	ANP32B
ENSG00000138772	ANXA3
ENSG00000136250	AOAH
ENSG00000249624	AP000295.1
ENSG00000285816	AP000944.5
ENSG00000284057	AP001273.2
ENSG00000255663	AP002373.1
ENSG00000256591	AP003108.2
ENSG00000283294	AP005212.4
ENSG00000138660	AP1AR
ENSG00000177879	AP3S1
ENSG00000053770	AP5M1
ENSG00000149089	APIP
ENSG00000169621	APLF
ENSG00000111701	APOBEC1
ENSG00000234906	APOC2
ENSG00000047365	ARAP2
ENSG00000109321	AREG
ENSG00000081181	ARG2
ENSG00000198826	ARHGAP11A
ENSG00000285077	ARHGAP11B
ENSG00000284906	ARHGAP11B
ENSG00000146376	ARHGAP18
ENSG00000213390	ARHGAP19
ENSG00000269891	ARHGAP19-SLIT1
ENSG00000215769	ARHGAP27P1-BPTFP1-KPNA2P3
ENSG00000165895	ARHGAP42
ENSG00000100852	ARHGAP5
ENSG00000213214	ARHGEF35
ENSG00000236699	ARHGEF38
ENSG00000150347	ARID5B
ENSG00000122644	ARL4A
ENSG00000165997	ARL5B
ENSG00000170540	ARL6IP1
ENSG00000146476	ARMT1
ENSG00000204147	ASAH2B
ENSG00000235919	ASH1L-AS1
ENSG00000070669	ASNS
ENSG00000198363	ASPH
ENSG00000066279	ASPM
ENSG00000156802	ATAD2
ENSG00000176208	ATAD5
ENSG00000166669	ATF7IP2
ENSG00000068650	ATP11A
ENSG00000163399	ATP1A1
ENSG00000143153	ATP1B1
ENSG00000173915	ATP5MD
ENSG00000169020	ATP5ME
ENSG00000241837	ATP5PO
ENSG00000155097	ATP6V1C1
ENSG00000124406	ATP8A1
ENSG00000081923	ATP8B1
ENSG00000127423	AUNIP
ENSG00000087586	AURKA
ENSG00000168646	AXIN2
ENSG00000187676	B3GLCT
ENSG00000176597	B3GNT5
ENSG00000083123	BCKDHB
ENSG00000258643	BCL2L2-PABPN1
ENSG00000165626	BEND7
ENSG00000089685	BIRC5
ENSG00000134897	BIVM
ENSG00000197299	BLM
ENSG00000095585	BLNK
ENSG00000176171	BNIP3
ENSG00000261740	BOLA2-SMG1P6
ENSG00000163170	BOLA3
ENSG00000213630	BOLA3P3
ENSG00000136122	BORA
ENSG00000012048	BRCA1
ENSG00000139618	BRCA2
ENSG00000136492	BRIP1
ENSG00000113460	BRIX1
ENSG00000145741	BTF3
ENSG00000154640	BTG3
